"year","teamName","LeagueAbbr"
2016,"Furman","SoCon"
2017,"Furman","SoCon"
2018,"Furman","SoCon"
2019,"Furman","SoCon"
2020,"Furman","SoCon"
2010,"Gardner-Webb","BigSou"
2011,"Gardner-Webb","BigSou"
2012,"Gardner-Webb","BigSou"
2013,"Gardner-Webb","BigSou"
2014,"Gardner-Webb","BigSou"
2015,"Gardner-Webb","BigSou"
2016,"Gardner-Webb","BigSou"
2017,"Gardner-Webb","BigSou"
2018,"Gardner-Webb","BigSou"
2019,"Gardner-Webb","BigSou"
2020,"Gardner-Webb","BigSou"
2010,"George Mason","CAA"
2011,"George Mason","CAA"
2012,"George Mason","CAA"
2013,"George Mason","CAA"
2014,"George Mason","Atl10"
2015,"George Mason","Atl10"
2016,"George Mason","Atl10"
2017,"George Mason","Atl10"
2018,"George Mason","Atl10"
2019,"George Mason","Atl10"
2020,"George Mason","Atl10"
2010,"George Washington","Atl10"
2011,"George Washington","Atl10"
2012,"George Washington","Atl10"
2013,"George Washington","Atl10"
2014,"George Washington","Atl10"
2015,"George Washington","Atl10"
2016,"George Washington","Atl10"
2017,"George Washington","Atl10"
2018,"George Washington","Atl10"
2019,"George Washington","Atl10"
2020,"George Washington","Atl10"
2010,"Georgetown","BigEast"
2011,"Georgetown","BigEast"
2012,"Georgetown","BigEast"
2013,"Georgetown","BigEast"
2014,"Georgetown","BigEast"
2015,"Georgetown","BigEast"
2016,"Georgetown","BigEast"
2017,"Georgetown","BigEast"
2018,"Georgetown","BigEast"
2019,"Georgetown","BigEast"
2020,"Georgetown","BigEast"
2010,"Georgia","SEC"
2011,"Georgia","SEC"
2012,"Georgia","SEC"
2013,"Georgia","SEC"
2014,"Georgia","SEC"
2015,"Georgia","SEC"
2016,"Georgia","SEC"
2017,"Georgia","SEC"
2018,"Georgia","SEC"
2019,"Georgia","SEC"
2020,"Georgia","SEC"
2010,"Georgia Southern","SoCon"
2011,"Georgia Southern","SoCon"
2012,"Georgia Southern","SoCon"
2013,"Georgia Southern","SoCon"
2014,"Georgia Southern","SoCon"
2015,"Georgia Southern","SBC"
2016,"Georgia Southern","SBC"
2017,"Georgia Southern","SBC"
2018,"Georgia Southern","SBC"
2019,"Georgia Southern","SBC"
2020,"Georgia Southern","SBC"
2010,"Georgia State","CAA"
2011,"Georgia State","CAA"
2012,"Georgia State","CAA"
2013,"Georgia State","CAA"
2014,"Georgia State","SBC"
2015,"Georgia State","SBC"
2016,"Georgia State","SBC"
2017,"Georgia State","SBC"
2018,"Georgia State","SBC"
2019,"Georgia State","SBC"
2020,"Georgia State","SBC"
2010,"Georgia Tech","ACC"
2011,"Georgia Tech","ACC"
2012,"Georgia Tech","ACC"
2013,"Georgia Tech","ACC"
2014,"Georgia Tech","ACC"
2015,"Georgia Tech","ACC"
2016,"Georgia Tech","ACC"
2017,"Georgia Tech","ACC"
2018,"Georgia Tech","ACC"
2019,"Georgia Tech","ACC"
2020,"Georgia Tech","ACC"
2010,"Gonzaga","WCC"
2011,"Gonzaga","WCC"
2012,"Gonzaga","WCC"
2013,"Gonzaga","WCC"
2014,"Gonzaga","WCC"
2015,"Gonzaga","WCC"
2016,"Gonzaga","WCC"
2017,"Gonzaga","WCC"
2018,"Gonzaga","WCC"
2019,"Gonzaga","WCC"
2020,"Gonzaga","WCC"
2010,"Grambling State","SWAC"
2011,"Grambling State","SWAC"
2012,"Grambling State","SWAC"
2013,"Grambling State","SWAC"
2014,"Grambling State","SWAC"
2015,"Grambling State","SWAC"
2016,"Grambling State","SWAC"
2017,"Grambling State","SWAC"
2018,"Grambling State","SWAC"
2019,"Grambling State","SWAC"
2020,"Grambling State","SWAC"
2014,"Grand Canyon","WAC"
2015,"Grand Canyon","WAC"
2016,"Grand Canyon","WAC"
2017,"Grand Canyon","WAC"
2018,"Grand Canyon","WAC"
2019,"Grand Canyon","WAC"
2020,"Grand Canyon","WAC"
2010,"Hartford","AmEast"
2011,"Hartford","AmEast"
2012,"Hartford","AmEast"
2013,"Hartford","AmEast"
2014,"Hartford","AmEast"
2015,"Hartford","AmEast"
2016,"Hartford","AmEast"
2017,"Hartford","AmEast"
2018,"Hartford","AmEast"
2019,"Hartford","AmEast"
2020,"Hartford","AmEast"
2010,"Harvard","Ivy"
2011,"Harvard","Ivy"
2012,"Harvard","Ivy"
2013,"Harvard","Ivy"
2014,"Harvard","Ivy"
2015,"Harvard","Ivy"
2016,"Harvard","Ivy"
2017,"Harvard","Ivy"
2018,"Harvard","Ivy"
2019,"Harvard","Ivy"
2020,"Harvard","Ivy"
2010,"Hawaii","WAC"
2011,"Hawaii","WAC"
2012,"Hawaii","WAC"
2013,"Hawaii","BigWest"
2014,"Hawaii","BigWest"
2015,"Hawaii","BigWest"
2016,"Hawaii","BigWest"
2017,"Hawaii","BigWest"
2018,"Hawaii","BigWest"
2019,"Hawaii","BigWest"
2020,"Hawaii","BigWest"
2010,"High Point","BigSou"
2011,"High Point","BigSou"
2012,"High Point","BigSou"
2013,"High Point","BigSou"
2014,"High Point","BigSou"
2015,"High Point","BigSou"
2016,"High Point","BigSou"
2017,"High Point","BigSou"
2018,"High Point","BigSou"
2019,"High Point","BigSou"
2020,"High Point","BigSou"
2010,"Hofstra","CAA"
2011,"Hofstra","CAA"
2012,"Hofstra","CAA"
2013,"Hofstra","CAA"
2014,"Hofstra","CAA"
2015,"Hofstra","CAA"
2016,"Hofstra","CAA"
2017,"Hofstra","CAA"
2018,"Hofstra","CAA"
2019,"Hofstra","CAA"
2020,"Hofstra","CAA"
2010,"Holy Cross","Patriot"
2011,"Holy Cross","Patriot"
2012,"Holy Cross","Patriot"
2013,"Holy Cross","Patriot"
2014,"Holy Cross","Patriot"
2015,"Holy Cross","Patriot"
2016,"Holy Cross","Patriot"
2017,"Holy Cross","Patriot"
2018,"Holy Cross","Patriot"
2019,"Holy Cross","Patriot"
2020,"Holy Cross","Patriot"
2010,"Houston","ConfUSA"
2011,"Houston","ConfUSA"
2012,"Houston","ConfUSA"
2013,"Houston","ConfUSA"
2014,"Houston","AAC"
2015,"Houston","AAC"
2016,"Houston","AAC"
2017,"Houston","AAC"
2018,"Houston","AAC"
2019,"Houston","AAC"
2020,"Houston","AAC"
2010,"Houston Baptist","GWC"
2011,"Houston Baptist","GWC"
2012,"Houston Baptist","GWC"
2013,"Houston Baptist","GWC"
2014,"Houston Baptist","Sthland"
2015,"Houston Baptist","Sthland"
2016,"Houston Baptist","Sthland"
2017,"Houston Baptist","Sthland"
2018,"Houston Baptist","Sthland"
2019,"Houston Baptist","Sthland"
2020,"Houston Baptist","Sthland"
2010,"Illinois","Big10"
2011,"Illinois","Big10"
2012,"Illinois","Big10"
2013,"Illinois","Big10"
2014,"Illinois","Big10"
2015,"Illinois","Big10"
2016,"Illinois","Big10"
2017,"Illinois","Big10"
2018,"Illinois","Big10"
2019,"Illinois","Big10"
2020,"Illinois","Big10"
2010,"Illinois-Chicago","Horiz"
2011,"Illinois-Chicago","Horiz"
2012,"Illinois-Chicago","Horiz"
2013,"Illinois-Chicago","Horiz"
2014,"Illinois-Chicago","Horiz"
2015,"Illinois-Chicago","Horiz"
2016,"Illinois-Chicago","Horiz"
2017,"Illinois-Chicago","Horiz"
2018,"Illinois-Chicago","Horiz"
2019,"Illinois-Chicago","Horiz"
2020,"Illinois-Chicago","Horiz"
2010,"Illinois State","MVC"
2011,"Illinois State","MVC"
2012,"Illinois State","MVC"
2013,"Illinois State","MVC"
2014,"Illinois State","MVC"
2015,"Illinois State","MVC"
2016,"Illinois State","MVC"
2017,"Illinois State","MVC"
2018,"Illinois State","MVC"
2019,"Illinois State","MVC"
2020,"Illinois State","MVC"
2014,"Incarnate Word","Sthland"
2015,"Incarnate Word","Sthland"
2016,"Incarnate Word","Sthland"
2017,"Incarnate Word","Sthland"
2018,"Incarnate Word","Sthland"
2019,"Incarnate Word","Sthland"
2020,"Incarnate Word","Sthland"
2010,"Indiana","Big10"
2011,"Indiana","Big10"
2012,"Indiana","Big10"
2013,"Indiana","Big10"
2014,"Indiana","Big10"
2015,"Indiana","Big10"
2016,"Indiana","Big10"
2017,"Indiana","Big10"
2018,"Indiana","Big10"
2019,"Indiana","Big10"
2020,"Indiana","Big10"
2010,"Indiana State","MVC"
2011,"Indiana State","MVC"
2012,"Indiana State","MVC"
2013,"Indiana State","MVC"
2014,"Indiana State","MVC"
2015,"Indiana State","MVC"
2016,"Indiana State","MVC"
2017,"Indiana State","MVC"
2018,"Indiana State","MVC"
2019,"Indiana State","MVC"
2020,"Indiana State","MVC"
2010,"Indiana U.-Purdue U.-FW","Summ"
2011,"Indiana U.-Purdue U.-FW","Summ"
2012,"Indiana U.-Purdue U.-FW","Summ"
2013,"Indiana U.-Purdue U.-FW","Summ"
2014,"Indiana U.-Purdue U.-FW","Summ"
2015,"Indiana U.-Purdue U.-FW","Summ"
2016,"Indiana U.-Purdue U.-FW","Summ"
2017,"Indiana U.-Purdue U.-FW","Summ"
2018,"Indiana U.-Purdue U.-FW","Summ"
2019,"Indiana U.-Purdue U.-FW","Summ"
2020,"Indiana U.-Purdue U.-FW","Summ"
2010,"Iona College","MAAC"
2011,"Iona College","MAAC"
2012,"Iona College","MAAC"
2013,"Iona College","MAAC"
2014,"Iona College","MAAC"
2015,"Iona College","MAAC"
2016,"Iona College","MAAC"
2017,"Iona College","MAAC"
2018,"Iona College","MAAC"
2019,"Iona College","MAAC"
2020,"Iona College","MAAC"
2010,"Iowa","Big10"
2011,"Iowa","Big10"
2012,"Iowa","Big10"
2013,"Iowa","Big10"
2014,"Iowa","Big10"
2015,"Iowa","Big10"
2016,"Iowa","Big10"
2017,"Iowa","Big10"
2018,"Iowa","Big10"
2019,"Iowa","Big10"
2020,"Iowa","Big10"
2010,"Jackson State","SWAC"
2011,"Jackson State","SWAC"
2012,"Jackson State","SWAC"
2013,"Jackson State","SWAC"
2014,"Jackson State","SWAC"
2015,"Jackson State","SWAC"
2016,"Jackson State","SWAC"
2017,"Jackson State","SWAC"
2018,"Jackson State","SWAC"
2019,"Jackson State","SWAC"
2020,"Jackson State","SWAC"
2010,"Jacksonville","AtlSun"
2011,"Jacksonville","AtlSun"
2012,"Jacksonville","AtlSun"
2013,"Jacksonville","AtlSun"
2014,"Jacksonville","AtlSun"
2015,"Jacksonville","AtlSun"
2016,"Jacksonville","AtlSun"
2017,"Jacksonville","AtlSun"
2018,"Jacksonville","AtlSun"
2019,"Jacksonville","AtlSun"
2020,"Jacksonville","AtlSun"
2010,"Jacksonville State","OVC"
2011,"Jacksonville State","OVC"
2012,"Jacksonville State","OVC"
2013,"Jacksonville State","OVC"
2014,"Jacksonville State","OVC"
2015,"Jacksonville State","OVC"
2016,"Jacksonville State","OVC"
2017,"Jacksonville State","OVC"
2018,"Jacksonville State","OVC"
2019,"Jacksonville State","OVC"
2020,"Jacksonville State","OVC"
2010,"James Madison","CAA"
2011,"James Madison","CAA"
2012,"James Madison","CAA"
2013,"James Madison","CAA"
2014,"James Madison","CAA"
2015,"James Madison","CAA"
2016,"James Madison","CAA"
2017,"James Madison","CAA"
2018,"James Madison","CAA"
2019,"James Madison","CAA"
2020,"James Madison","CAA"
2010,"Kansas","Big12"
2011,"Kansas","Big12"
2012,"Kansas","Big12"
2013,"Kansas","Big12"
2014,"Kansas","Big12"
2015,"Kansas","Big12"
2016,"Kansas","Big12"
2017,"Kansas","Big12"
2018,"Kansas","Big12"
2019,"Kansas","Big12"
2020,"Kansas","Big12"
2010,"Kansas State","Big12"
2011,"Kansas State","Big12"
2012,"Kansas State","Big12"
2013,"Kansas State","Big12"
2014,"Kansas State","Big12"
2015,"Kansas State","Big12"
2016,"Kansas State","Big12"
2017,"Kansas State","Big12"
2018,"Kansas State","Big12"
2019,"Kansas State","Big12"
2020,"Kansas State","Big12"
2010,"Kennesaw State","AtlSun"
2011,"Kennesaw State","AtlSun"
2012,"Kennesaw State","AtlSun"
2013,"Kennesaw State","AtlSun"
2014,"Kennesaw State","AtlSun"
2015,"Kennesaw State","AtlSun"
2016,"Kennesaw State","AtlSun"
2017,"Kennesaw State","AtlSun"
2018,"Kennesaw State","AtlSun"
2019,"Kennesaw State","AtlSun"
2020,"Kennesaw State","AtlSun"
2010,"Kent State","MAC"
2011,"Kent State","MAC"
2012,"Kent State","MAC"
2013,"Kent State","MAC"
2014,"Kent State","MAC"
2015,"Kent State","MAC"
2016,"Kent State","MAC"
2017,"Kent State","MAC"
2018,"Kent State","MAC"
2019,"Kent State","MAC"
2020,"Kent State","MAC"
2010,"Kentucky","SEC"
2011,"Kentucky","SEC"
2012,"Kentucky","SEC"
2013,"Kentucky","SEC"
2014,"Kentucky","SEC"
2015,"Kentucky","SEC"
2016,"Kentucky","SEC"
2017,"Kentucky","SEC"
2018,"Kentucky","SEC"
2019,"Kentucky","SEC"
2020,"Kentucky","SEC"
2010,"La Salle","Atl10"
2011,"La Salle","Atl10"
2012,"La Salle","Atl10"
2013,"La Salle","Atl10"
2014,"La Salle","Atl10"
2015,"La Salle","Atl10"
2016,"La Salle","Atl10"
2017,"La Salle","Atl10"
2018,"La Salle","Atl10"
2019,"La Salle","Atl10"
2020,"La Salle","Atl10"
2010,"Lafayette College","Patriot"
2011,"Lafayette College","Patriot"
2012,"Lafayette College","Patriot"
2013,"Lafayette College","Patriot"
2014,"Lafayette College","Patriot"
2015,"Lafayette College","Patriot"
2016,"Lafayette College","Patriot"
2017,"Lafayette College","Patriot"
2018,"Lafayette College","Patriot"
2019,"Lafayette College","Patriot"
2020,"Lafayette College","Patriot"
2010,"Lamar","Sthland"
2011,"Lamar","Sthland"
2012,"Lamar","Sthland"
2013,"Lamar","Sthland"
2014,"Lamar","Sthland"
2015,"Lamar","Sthland"
2016,"Lamar","Sthland"
2017,"Lamar","Sthland"
2018,"Lamar","Sthland"
2019,"Lamar","Sthland"
2020,"Lamar","Sthland"
2010,"Le Moyne","IndyNCAA"
2011,"Le Moyne","IndyNCAA"
2010,"Lehigh","Patriot"
2011,"Lehigh","Patriot"
2012,"Lehigh","Patriot"
2013,"Lehigh","Patriot"
2014,"Lehigh","Patriot"
2015,"Lehigh","Patriot"
2016,"Lehigh","Patriot"
2017,"Lehigh","Patriot"
2018,"Lehigh","Patriot"
2019,"Lehigh","Patriot"
2020,"Lehigh","Patriot"
2010,"Liberty","BigSou"
2011,"Liberty","BigSou"
2012,"Liberty","BigSou"
2013,"Liberty","BigSou"
2014,"Liberty","BigSou"
2015,"Liberty","BigSou"
2016,"Liberty","BigSou"
2017,"Liberty","BigSou"
2018,"Liberty","BigSou"
2019,"Liberty","AtlSun"
2020,"Liberty","AtlSun"
2010,"Lipscomb","AtlSun"
2011,"Lipscomb","AtlSun"
2012,"Lipscomb","AtlSun"
2013,"Lipscomb","AtlSun"
2014,"Lipscomb","AtlSun"
2015,"Lipscomb","AtlSun"
2016,"Lipscomb","AtlSun"
2017,"Lipscomb","AtlSun"
2018,"Lipscomb","AtlSun"
2019,"Lipscomb","AtlSun"
2020,"Lipscomb","AtlSun"
2010,"Long Beach State","BigWest"
2011,"Long Beach State","BigWest"
2012,"Long Beach State","BigWest"
2013,"Long Beach State","BigWest"
2014,"Long Beach State","BigWest"
2015,"Long Beach State","BigWest"
2016,"Long Beach State","BigWest"
2017,"Long Beach State","BigWest"
2018,"Long Beach State","BigWest"
2019,"Long Beach State","BigWest"
2020,"Long Beach State","BigWest"
2010,"Long Island-Brooklyn","NEC"
2011,"Long Island-Brooklyn","NEC"
2012,"Long Island-Brooklyn","NEC"
2013,"Long Island-Brooklyn","NEC"
2014,"Long Island-Brooklyn","NEC"
2015,"Long Island-Brooklyn","NEC"
2016,"Long Island-Brooklyn","NEC"
2017,"Long Island-Brooklyn","NEC"
2018,"Long Island-Brooklyn","NEC"
2019,"Long Island-Brooklyn","NEC"
2020,"Long Island-Brooklyn","NEC"
2010,"Longwood","IndyNCAA"
2011,"Longwood","IndyNCAA"
2012,"Longwood","IndyNCAA"
2013,"Longwood","BigSou"
2014,"Longwood","BigSou"
2015,"Longwood","BigSou"
2016,"Longwood","BigSou"
2017,"Longwood","BigSou"
2018,"Longwood","BigSou"
2019,"Longwood","BigSou"
2020,"Longwood","BigSou"
2010,"Louisiana-Lafayette","SBC"
2011,"Louisiana-Lafayette","SBC"
2012,"Louisiana-Lafayette","SBC"
2013,"Louisiana-Lafayette","SBC"
2014,"Louisiana-Lafayette","SBC"
2015,"Louisiana-Lafayette","SBC"
2016,"Louisiana-Lafayette","SBC"
2017,"Louisiana-Lafayette","SBC"
2018,"Louisiana-Lafayette","SBC"
2019,"Louisiana-Lafayette","SBC"
2020,"Louisiana-Lafayette","SBC"
2010,"Louisiana-Monroe","SBC"
2011,"Louisiana-Monroe","SBC"
2012,"Louisiana-Monroe","SBC"
2013,"Louisiana-Monroe","SBC"
2014,"Louisiana-Monroe","SBC"
2015,"Louisiana-Monroe","SBC"
2016,"Louisiana-Monroe","SBC"
2017,"Louisiana-Monroe","SBC"
2018,"Louisiana-Monroe","SBC"
2019,"Louisiana-Monroe","SBC"
2020,"Louisiana-Monroe","SBC"
2010,"Louisiana Tech","WAC"
2011,"Louisiana Tech","WAC"
2012,"Louisiana Tech","WAC"
2013,"Louisiana Tech","WAC"
2014,"Louisiana Tech","ConfUSA"
2015,"Louisiana Tech","ConfUSA"
2016,"Louisiana Tech","ConfUSA"
2017,"Louisiana Tech","ConfUSA"
2018,"Louisiana Tech","ConfUSA"
2019,"Louisiana Tech","ConfUSA"
2020,"Louisiana Tech","ConfUSA"
2010,"Louisville","BigEast"
2011,"Louisville","BigEast"
2012,"Louisville","BigEast"
2013,"Louisville","BigEast"
2014,"Louisville","AAC"
2015,"Louisville","ACC"
2016,"Louisville","ACC"
2017,"Louisville","ACC"
2018,"Louisville","ACC"
2019,"Louisville","ACC"
2020,"Louisville","ACC"
2010,"Loyola Marymount","WCC"
2011,"Loyola Marymount","WCC"
2012,"Loyola Marymount","WCC"
2013,"Loyola Marymount","WCC"
2014,"Loyola Marymount","WCC"
2015,"Loyola Marymount","WCC"
2016,"Loyola Marymount","WCC"
2017,"Loyola Marymount","WCC"
2018,"Loyola Marymount","WCC"
2019,"Loyola Marymount","WCC"
2020,"Loyola Marymount","WCC"
2010,"LSU","SEC"
2011,"LSU","SEC"
2012,"LSU","SEC"
2013,"LSU","SEC"
2014,"LSU","SEC"
2015,"LSU","SEC"
2016,"LSU","SEC"
2017,"LSU","SEC"
2018,"LSU","SEC"
2019,"LSU","SEC"
2020,"LSU","SEC"
2010,"Maine","AmEast"
2011,"Maine","AmEast"
2012,"Maine","AmEast"
2013,"Maine","AmEast"
2014,"Maine","AmEast"
2015,"Maine","AmEast"
2016,"Maine","AmEast"
2017,"Maine","AmEast"
2018,"Maine","AmEast"
2019,"Maine","AmEast"
2020,"Maine","AmEast"
2010,"Manhattan College","MAAC"
2011,"Manhattan College","MAAC"
2012,"Manhattan College","MAAC"
2013,"Manhattan College","MAAC"
2014,"Manhattan College","MAAC"
2015,"Manhattan College","MAAC"
2016,"Manhattan College","MAAC"
2017,"Manhattan College","MAAC"
2018,"Manhattan College","MAAC"
2019,"Manhattan College","MAAC"
2020,"Manhattan College","MAAC"
2010,"Marist","MAAC"
2011,"Marist","MAAC"
2012,"Marist","MAAC"
2013,"Marist","MAAC"
2014,"Marist","MAAC"
2015,"Marist","MAAC"
2016,"Marist","MAAC"
2017,"Marist","MAAC"
2018,"Marist","MAAC"
2019,"Marist","MAAC"
2020,"Marist","MAAC"
2010,"Marshall","ConfUSA"
2011,"Marshall","ConfUSA"
2012,"Marshall","ConfUSA"
2013,"Marshall","ConfUSA"
2014,"Marshall","ConfUSA"
2015,"Marshall","ConfUSA"
2016,"Marshall","ConfUSA"
2017,"Marshall","ConfUSA"
2018,"Marshall","ConfUSA"
2019,"Marshall","ConfUSA"
2020,"Marshall","ConfUSA"
2010,"Maryland","ACC"
2011,"Maryland","ACC"
2012,"Maryland","ACC"
2013,"Maryland","ACC"
2014,"Maryland","ACC"
2015,"Maryland","Big10"
2016,"Maryland","Big10"
2017,"Maryland","Big10"
2018,"Maryland","Big10"
2019,"Maryland","Big10"
2020,"Maryland","Big10"
2010,"Maryland-Eastern Shore","MEAC"
2011,"Maryland-Eastern Shore","MEAC"
2012,"Maryland-Eastern Shore","MEAC"
2013,"Maryland-Eastern Shore","MEAC"
2014,"Maryland-Eastern Shore","MEAC"
2015,"Maryland-Eastern Shore","MEAC"
2016,"Maryland-Eastern Shore","MEAC"
2017,"Maryland-Eastern Shore","MEAC"
2018,"Maryland-Eastern Shore","MEAC"
2019,"Maryland-Eastern Shore","MEAC"
2020,"Maryland-Eastern Shore","MEAC"
2010,"Massachusetts","Atl10"
2011,"Massachusetts","Atl10"
2012,"Massachusetts","Atl10"
2013,"Massachusetts","Atl10"
2014,"Massachusetts","Atl10"
2015,"Massachusetts","Atl10"
2016,"Massachusetts","Atl10"
2017,"Massachusetts","Atl10"
2018,"Massachusetts","Atl10"
2019,"Massachusetts","Atl10"
2020,"Massachusetts","Atl10"
2014,"Massachusetts-Lowell","AmEast"
2015,"Massachusetts-Lowell","AmEast"
2016,"Massachusetts-Lowell","AmEast"
2017,"Massachusetts-Lowell","AmEast"
2018,"Massachusetts-Lowell","AmEast"
2019,"Massachusetts-Lowell","AmEast"
2020,"Massachusetts-Lowell","AmEast"
2010,"McNeese State","Sthland"
2011,"McNeese State","Sthland"
2012,"McNeese State","Sthland"
2013,"McNeese State","Sthland"
2014,"McNeese State","Sthland"
2015,"McNeese State","Sthland"
2016,"McNeese State","Sthland"
2017,"McNeese State","Sthland"
2018,"McNeese State","Sthland"
2019,"McNeese State","Sthland"
2020,"McNeese State","Sthland"
2010,"Memphis","ConfUSA"
2011,"Memphis","ConfUSA"
2012,"Memphis","ConfUSA"
2013,"Memphis","ConfUSA"
2014,"Memphis","AAC"
2015,"Memphis","AAC"
2016,"Memphis","AAC"
2017,"Memphis","AAC"
2018,"Memphis","AAC"
2019,"Memphis","AAC"
2020,"Memphis","AAC"
2010,"Mercer","AtlSun"
2011,"Mercer","AtlSun"
2012,"Mercer","AtlSun"
2013,"Mercer","AtlSun"
2014,"Mercer","AtlSun"
2015,"Mercer","SoCon"
2016,"Mercer","SoCon"
2017,"Mercer","SoCon"
2018,"Mercer","SoCon"
2019,"Mercer","SoCon"
2020,"Mercer","SoCon"
2020,"Merrimack College","NEC"
2010,"Miami","ACC"
2010,"Miami","MAC"
2011,"Miami","ACC"
2011,"Miami","MAC"
2012,"Miami","ACC"
2012,"Miami","MAC"
2013,"Miami","ACC"
2013,"Miami","MAC"
2014,"Miami","ACC"
2014,"Miami","MAC"
2015,"Miami","ACC"
2015,"Miami","MAC"
2016,"Miami","ACC"
2016,"Miami","MAC"
2017,"Miami","ACC"
2017,"Miami","MAC"
2018,"Miami","ACC"
2018,"Miami","MAC"
2019,"Miami","ACC"
2019,"Miami","MAC"
2020,"Miami","ACC"
2020,"Miami","MAC"
2010,"Michigan","Big10"
2011,"Michigan","Big10"
2012,"Michigan","Big10"
2013,"Michigan","Big10"
2014,"Michigan","Big10"
2015,"Michigan","Big10"
2016,"Michigan","Big10"
2017,"Michigan","Big10"
2018,"Michigan","Big10"
2019,"Michigan","Big10"
2020,"Michigan","Big10"
2010,"Michigan State","Big10"
2011,"Michigan State","Big10"
2012,"Michigan State","Big10"
2013,"Michigan State","Big10"
2014,"Michigan State","Big10"
2015,"Michigan State","Big10"
2016,"Michigan State","Big10"
2017,"Michigan State","Big10"
2018,"Michigan State","Big10"
2019,"Michigan State","Big10"
2020,"Michigan State","Big10"
2010,"Middle Tenn State","SBC"
2011,"Middle Tenn State","SBC"
2012,"Middle Tenn State","SBC"
2013,"Middle Tenn State","SBC"
2014,"Middle Tenn State","ConfUSA"
2015,"Middle Tenn State","ConfUSA"
2016,"Middle Tenn State","ConfUSA"
2017,"Middle Tenn State","ConfUSA"
2018,"Middle Tenn State","ConfUSA"
2019,"Middle Tenn State","ConfUSA"
2020,"Middle Tenn State","ConfUSA"
2010,"Minnesota","Big10"
2011,"Minnesota","Big10"
2012,"Minnesota","Big10"
2013,"Minnesota","Big10"
2014,"Minnesota","Big10"
2015,"Minnesota","Big10"
2016,"Minnesota","Big10"
2017,"Minnesota","Big10"
2018,"Minnesota","Big10"
2019,"Minnesota","Big10"
2020,"Minnesota","Big10"
2010,"Miss. Valley St","SWAC"
2011,"Miss. Valley St","SWAC"
2012,"Miss. Valley St","SWAC"
2013,"Miss. Valley St","SWAC"
2014,"Miss. Valley St","SWAC"
2015,"Miss. Valley St","SWAC"
2016,"Miss. Valley St","SWAC"
2017,"Miss. Valley St","SWAC"
2018,"Miss. Valley St","SWAC"
2019,"Miss. Valley St","SWAC"
2020,"Miss. Valley St","SWAC"
2010,"Mississippi","SEC"
2011,"Mississippi","SEC"
2012,"Mississippi","SEC"
2013,"Mississippi","SEC"
2014,"Mississippi","SEC"
2015,"Mississippi","SEC"
2016,"Mississippi","SEC"
2017,"Mississippi","SEC"
2018,"Mississippi","SEC"
2019,"Mississippi","SEC"
2020,"Mississippi","SEC"
2010,"Mississippi State","SEC"
2011,"Mississippi State","SEC"
2012,"Mississippi State","SEC"
2013,"Mississippi State","SEC"
2014,"Mississippi State","SEC"
2015,"Mississippi State","SEC"
2016,"Mississippi State","SEC"
2017,"Mississippi State","SEC"
2018,"Mississippi State","SEC"
2019,"Mississippi State","SEC"
2020,"Mississippi State","SEC"
2010,"Missouri","Big12"
2011,"Missouri","Big12"
2012,"Missouri","Big12"
2013,"Missouri","SEC"
2014,"Missouri","SEC"
2015,"Missouri","SEC"
2016,"Missouri","SEC"
2017,"Missouri","SEC"
2018,"Missouri","SEC"
2019,"Missouri","SEC"
2020,"Missouri","SEC"
2010,"Missouri State","MVC"
2011,"Missouri State","MVC"
2012,"Missouri State","MVC"
2013,"Missouri State","MVC"
2014,"Missouri State","MVC"
2015,"Missouri State","MVC"
2016,"Missouri State","MVC"
2017,"Missouri State","MVC"
2018,"Missouri State","MVC"
2019,"Missouri State","MVC"
2020,"Missouri State","MVC"
2010,"Monmouth","NEC"
2011,"Monmouth","NEC"
2012,"Monmouth","NEC"
2013,"Monmouth","NEC"
2014,"Monmouth","MAAC"
2015,"Monmouth","MAAC"
2016,"Monmouth","MAAC"
2017,"Monmouth","MAAC"
2018,"Monmouth","MAAC"
2019,"Monmouth","MAAC"
2020,"Monmouth","MAAC"
2010,"Morehead State","OVC"
2011,"Morehead State","OVC"
2012,"Morehead State","OVC"
2013,"Morehead State","OVC"
2014,"Morehead State","OVC"
2015,"Morehead State","OVC"
2016,"Morehead State","OVC"
2017,"Morehead State","OVC"
2018,"Morehead State","OVC"
2019,"Morehead State","OVC"
2020,"Morehead State","OVC"
2010,"Mount Saint Mary","NEC"
2011,"Mount Saint Mary","NEC"
2012,"Mount Saint Mary","NEC"
2013,"Mount Saint Mary","NEC"
2014,"Mount Saint Mary","NEC"
2015,"Mount Saint Mary","NEC"
2016,"Mount Saint Mary","NEC"
2017,"Mount Saint Mary","NEC"
2018,"Mount Saint Mary","NEC"
2019,"Mount Saint Mary","NEC"
2020,"Mount Saint Mary","NEC"
2010,"Murray State","OVC"
2011,"Murray State","OVC"
2012,"Murray State","OVC"
2013,"Murray State","OVC"
2014,"Murray State","OVC"
2015,"Murray State","OVC"
2016,"Murray State","OVC"
2017,"Murray State","OVC"
2018,"Murray State","OVC"
2019,"Murray State","OVC"
2020,"Murray State","OVC"
2010,"Navy","Patriot"
2011,"Navy","Patriot"
2012,"Navy","Patriot"
2013,"Navy","Patriot"
2014,"Navy","Patriot"
2015,"Navy","Patriot"
2016,"Navy","Patriot"
2017,"Navy","Patriot"
2018,"Navy","Patriot"
2019,"Navy","Patriot"
